,PTS,AST,REB,STL,BLK
Hassan Whiteside,24.817000000000004,7.4009999999999945,8.137999999999995,1.360999999999999,0.7530000000000002
Jabari Parker,24.789000000000005,7.507999999999994,7.825999999999997,1.3769999999999991,0.6940000000000004
Darren Collison,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Devin Booker,25.954000000000015,7.954999999999997,7.585000000000003,1.507,0.6770000000000003
D'Angelo Russell,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Emmanuel Mudiay,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Ish Smith,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Gary Harris,24.64100000000001,7.667999999999996,7.583999999999998,1.3929999999999996,0.5990000000000003
Mirza Teletovic,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
George Hill,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Julius Randle,24.84000000000001,7.8540000000000045,8.375999999999996,1.3259999999999996,0.7009999999999998
Isaiah Canaan,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Shabazz Muhammad,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Myles Turner,24.817000000000004,7.4009999999999945,8.137999999999995,1.360999999999999,0.7530000000000002
Allen Crabbe,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Ricky Rubio,24.21100000000001,7.590999999999997,7.428000000000002,1.4489999999999994,0.515
Nikola Jokic,27.671999999999972,8.545999999999996,9.923999999999989,1.394000000000001,0.9020000000000006
Patrick Beverley,24.676000000000002,7.543999999999994,7.612999999999999,1.395999999999999,0.6500000000000006
Marcus Thornton,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Raymond Felton,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Doug McDermott,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Aaron Gordon,24.747000000000007,7.430999999999996,7.854999999999994,1.3590000000000004,0.6430000000000006
Jeremy Lamb,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Toney Douglas,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Stanley Johnson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Joffrey Lauvergne,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Langston Galloway,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jose Calderon,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
E'Twaun Moore,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Frank Kaminsky,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
JaMychal Green,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Garrett Temple,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Bobby Portis,25.339999999999996,7.629000000000001,9.227999999999989,1.3029999999999995,0.8589999999999993
Willie Cauley-Stein,24.676000000000002,7.543999999999994,7.612999999999999,1.395999999999999,0.6500000000000006
Donald Sloan,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Justise Winslow,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Thabo Sefolosha,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Maurice Harkless,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
PJ Hairston,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Trey Lyles,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
T.J. McConnell,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Mario Hezonja,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Raul Neto,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Markel Brown,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Randy Foye,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Dwight Powell,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jerian Grant,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Larry Nance Jr.,24.84000000000001,7.8540000000000045,8.375999999999996,1.3259999999999996,0.7009999999999998
Ronnie Price,24.309000000000005,7.744999999999999,7.635000000000002,1.4019999999999992,0.549
Nemanja Bjelica,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Sasha Vujacic,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kyle O'Quinn,24.817000000000004,7.4009999999999945,8.137999999999995,1.360999999999999,0.7530000000000002
Kyle Anderson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Alonzo Gee,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Thomas Robinson,24.64100000000001,7.588999999999996,7.722999999999998,1.3759999999999994,0.6300000000000004
Brandon Rush,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Kelly Oubre Jr.,24.900000000000006,7.415999999999994,7.7399999999999975,1.4519999999999988,0.7130000000000004
Noah Vonleh,25.027000000000015,7.873999999999999,8.196999999999994,1.3130000000000006,0.6970000000000002
Ian Clark,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Mike Muscala,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Rashad Vaughn,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Johnny O'Bryant III,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Chris Johnson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Michael Beasley,24.676000000000002,7.507999999999995,7.696999999999997,1.3839999999999995,0.6440000000000005
Justin Anderson,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
Jordan Farmar,24.32900000000001,7.659999999999999,7.762000000000001,1.3859999999999997,0.5840000000000001
