Player,PTS,AST,REB,STL,BLK
Wayne Ellington,8.055999999999992,1.251999999999998,3.3720000000000057,0.7359999999999992,0.02800000000000001
Dennis Schroder,14.465,5.6230000000000055,3.0580000000000007,0.820999999999999,0.16099999999999973
Nerlens Noel,4.678000000000008,0.21699999999999972,4.132000000000002,0.710999999999999,0.7280000000000005
Wesley Johnson,5.459999999999992,0.5050000000000002,3.04,0.8060000000000003,0.6630000000000009
Luc Mbah a Moute,7.426000000000001,0.9560000000000008,3.469999999999999,1.136000000000001,0.4059999999999996
Terrence Ross,8.729999999999988,1.435,2.4730000000000025,0.5850000000000007,0.21699999999999978
Gorgui Dieng,6.818999999999988,1.0930000000000015,5.130000000000009,0.7199999999999993,0.7759999999999999
Timofey Mozgov,7.245999999999996,0.46599999999999947,5.037999999999994,0.32200000000000023,1.0199999999999982
Robin Lopez,7.30899999999999,0.285,2.339000000000004,0.06700000000000003,0.7839999999999994
Evan Turner,7.651999999999996,3.5389999999999975,4.197000000000002,0.613,0.26299999999999973
D.J. Augustin,7.798000000000005,3.2430000000000017,1.5869999999999982,0.5110000000000001,0.021000000000000005
Greivis Vasquez,7.5,3.0,1.8000000000000016,0.5,0.0
Mike Dunleavy,3.9239999999999986,0.6899999999999987,1.6060000000000019,0.30399999999999977,0.07799999999999997
Luis Scola,9.399999999999984,1.2999999999999983,6.5,0.600000000000001,0.19999999999999962
Nicolas Batum,6.514999999999999,1.5740000000000003,4.977000000000006,0.45800000000000046,0.7029999999999995
Amir Johnson,3.5800000000000045,0.9159999999999998,3.072999999999999,0.32000000000000045,0.26600000000000024
Marco Belinelli,7.124999999999992,1.2700000000000014,1.8519999999999996,0.22799999999999984,0.05199999999999999
P.J. Tucker,4.955999999999994,1.3929999999999998,4.724999999999998,1.0910000000000009,0.2950000000000003
Bojan Bogdanovic,20.17799999999998,2.4479999999999973,4.002000000000005,0.7450000000000003,0.08999999999999984
Rajon Rondo,8.833999999999985,6.998000000000007,4.5910000000000055,1.3930000000000016,0.1159999999999998
